"Motorvoertuigenpark; inwoners, type, regio, 1 januari";;;;;;;;;
Perioden: 2009-2018;;;;;;;;;
Regio's;jaar;Wegvoertuigen|Totaal wegvoertuigen;Wegvoertuigen|Totaal motorvoertuigen;Personenauto's|Totaal personenauto's;Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen;Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen;Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers;Motorfietsen|Totaal motorfietsen;TOTAAL
Groningen (PV);2011;359850;315273;254975;80620;36043;44577;24255;1115593
Friesland (PV);2011;436011;378992;298819;108373;51354;57019;28819;1359387
Drenthe (PV);2011;356980;307262;245281;86323;36605;49718;25376;1107545
Overijssel (PV);2011;747838;652900;525703;172304;77366;94938;49831;2320880
Flevoland (PV);2011;389158;366925;305356;69510;47277;22233;14292;1214751
Gelderland (PV);2011;1298221;1146040;928048;285141;132960;152181;85032;4027623
Utrecht (PV);2011;784625;720309;597890;144577;80261;64316;42158;2434136
Noord-Holland (PV);2011;1479638;1360186;1113538;268509;149057;119452;97591;4587971
Zuid-Holland (PV);2011;1943320;1766445;1471732;366062;189187;176875;105526;6019147
Zeeland (PV);2011;260913;231020;185942;57860;27967;29893;17111;810706
Noord-Brabant (PV);2011;1734298;1548569;1262894;371233;185504;185729;100171;5388398
Limburg (PV);2011;732044;657818;545369;140638;66412;74226;46037;2262544
Nederland;2012;10656190;9571506;7858712;2150483;1065799;1084684;646995;33034369
Groningen (PV);2012;364045;318753;258414;80816;35524;45292;24815;1127659
Friesland (PV);2012;441931;383886;303868;108553;50508;58045;29510;1376301
Drenthe (PV);2012;361564;311206;249186;86539;36181;50358;25839;1120873
Overijssel (PV);2012;758823;662316;534868;173170;76663;96507;50785;2353132
Flevoland (PV);2012;401075;378568;316742;69643;47136;22507;14690;1250361
Gelderland (PV);2012;1315192;1160973;942902;286131;131912;154219;86159;4077488
Utrecht (PV);2012;791331;726181;606087;142551;77401;65150;42693;2451394
Noord-Holland (PV);2012;1489775;1369389;1123548;266711;146325;120386;99516;4615650
Zuid-Holland (PV);2012;1967859;1790691;1496557;364090;186922;177168;107212;6090499
Zeeland (PV);2012;264674;234180;188805;58486;27992;30494;17383;822014
Noord-Brabant (PV);2012;1757032;1568935;1283997;371655;183558;188097;101380;5454654
Limburg (PV);2012;742889;666428;553738;142138;65677;76461;47013;2294344
Nederland;2013;10704447;9612273;7915613;2135589;1043415;1092174;653245;33156756
Groningen (PV);2013;364765;319192;259161;80437;34864;45573;25167;1129159
Friesland (PV);2013;444861;386127;305956;108878;50144;58734;30027;1384727
Drenthe (PV);2013;360437;309777;249494;84852;34192;50660;26091;1115503
Overijssel (PV);2013;762523;663991;538102;173371;74839;98532;51050;2362408
Flevoland (PV);2013;409506;386825;325173;69455;46774;22681;14878;1275292
Gelderland (PV);2013;1324253;1168383;951498;286073;130203;155870;86682;4102962
Utrecht (PV);2013;809626;743821;621952;144797;78992;65805;42877;2507870
Noord-Holland (PV);2013;1496552;1375483;1132203;263613;142544;121069;100736;4632200
Zuid-Holland (PV);2013;1961386;1785012;1495299;357385;181011;176374;108702;6065169
Zeeland (PV);2013;266460;235574;190416;58491;27605;30886;17553;826985
Noord-Brabant (PV);2013;1758625;1569421;1289511;367189;177985;189204;101925;5453860
Limburg (PV);2013;745453;668667;556848;141048;64262;76786;47557;2300621
Nederland;2014;10706674;9609895;7932290;2120393;1023614;1096779;653991;33143636
Groningen (PV);2014;364141;318429;258751;80150;34438;45712;25240;1126861
Friesland (PV);2014;445589;386316;306475;108824;49551;59273;30290;1386318
Drenthe (PV);2014;360796;309930;250093;84610;33744;50866;26093;1116132
Overijssel (PV);2014;759959;660652;535754;173202;73895;99307;51003;2353772
Flevoland (PV);2014;405388;382477;321646;68738;45827;22911;15004;1261991
Gelderland (PV);2014;1325036;1168513;954328;284337;127814;156523;86371;4102922
Utrecht (PV);2014;809485;743179;623482;143104;76798;66306;42899;2505253
Noord-Holland (PV);2014;1497864;1376492;1135950;260470;139098;121372;101444;4632690
Zuid-Holland (PV);2014;1959767;1783651;1496555;354277;178161;176116;108935;6057462
Zeeland (PV);2014;267446;236205;191352;58559;27318;31241;17535;829656
Noord-Brabant (PV);2014;1765004;1575659;1300031;363351;174006;189345;101622;5469018
Limburg (PV);2014;746199;668392;557873;140771;62964;77807;47555;2301561
Nederland;2015;10757655;9651004;7979083;2126236;1019585;1106651;652336;33292550
Groningen (PV);2015;365263;319593;259921;80081;34411;45670;25261;1130200
Friesland (PV);2015;448283;388316;308085;109831;49864;59967;30367;1394713
Drenthe (PV);2015;361465;310274;250614;84843;33652;51191;26008;1118047
Overijssel (PV);2015;764141;662930;539981;173511;72300;101211;50649;2364723
Flevoland (PV);2015;406452;383271;323255;68171;44990;23181;15026;1264346
Gelderland (PV);2015;1333857;1175950;961866;286421;128514;157907;85570;4130085
Utrecht (PV);2015;818783;752498;632138;143789;77504;66285;42856;2533853
Noord-Holland (PV);2015;1503826;1382041;1140432;261565;139780;121785;101829;4651258
Zuid-Holland (PV);2015;1963586;1786551;1500508;354138;177103;177035;108940;6067861
Zeeland (PV);2015;269220;237506;192767;58940;27226;31714;17513;834886
Noord-Brabant (PV);2015;1773753;1582508;1309461;363171;171926;191245;101121;5493185
Limburg (PV);2015;749026;669566;560055;141775;62315;79460;47196;2309393
Nederland;2016;10908581;9786227;8100864;2155173;1032819;1122354;652544;33758562
Groningen (PV);2016;368571;322407;262291;80950;34786;46164;25330;1140499
Friesland (PV);2016;454000;393176;312132;111424;50600;60824;30444;1412600
Drenthe (PV);2016;364641;313065;253051;85609;34033;51576;25981;1127956
Overijssel (PV);2016;773826;671077;547328;176176;73427;102749;50322;2394905
Flevoland (PV);2016;419827;396115;335882;68907;45195;23712;15038;1304676
Gelderland (PV);2016;1352785;1192019;976086;291443;130677;160766;85256;4189032
Utrecht (PV);2016;831059;764275;642013;145939;79155;66784;43107;2572332
Noord-Holland (PV);2016;1531437;1408977;1164058;264977;142517;122460;102402;4736828
Zuid-Holland (PV);2016;1985575;1806303;1518339;357678;178406;179272;109558;6135131
Zeeland (PV);2016;271917;239505;194741;59720;27308;32412;17456;843059
Noord-Brabant (PV);2016;1797729;1604019;1329625;367318;173608;193710;100786;5566795
Limburg (PV);2016;757214;675289;565318;145032;63107;81925;46864;2334749
Nederland;2017;11076215;9937732;8222974;2197250;1058767;1138483;655991;34287412
Groningen (PV);2017;373359;326953;265895;81914;35508;46406;25550;1155585
Friesland (PV);2017;461927;400073;317330;114105;52251;61854;30492;1438032
Drenthe (PV);2017;369931;317905;256962;86847;34821;52026;26122;1144614
Overijssel (PV);2017;786317;681991;555974;179910;75584;104326;50433;2434535
Flevoland (PV);2017;425744;402211;341011;69569;46036;23533;15164;1323268
Gelderland (PV);2017;1376156;1212090;992120;298719;134653;164066;85317;4263121
Utrecht (PV);2017;841301;774506;650069;147764;80969;66795;43468;2604872
Noord-Holland (PV);2017;1555347;1431039;1181698;270465;146157;124308;103184;4812198
Zuid-Holland (PV);2017;2016638;1835740;1543009;362737;181839;180898;110892;6231753
Zeeland (PV);2017;276549;243283;197551;61503;28237;33266;17495;857884
Noord-Brabant (PV);2017;1825489;1627786;1348054;376399;178696;197703;101036;5655163
Limburg (PV);2017;767457;684155;573301;147318;64016;83302;46838;2366387
Nederland;2018;11287017;10127174;8373244;2252134;1092291;1159843;661639;34953342
Groningen (PV);2018;379210;332126;270118;83475;36391;47084;25617;1174021
Friesland (PV);2018;471583;408485;323628;117189;54091;63098;30766;1468840
Drenthe (PV);2018;374906;322307;260367;88209;35610;52599;26330;1160328
Overijssel (PV);2018;803909;697565;568043;185253;78909;106344;50613;2490636
Flevoland (PV);2018;441940;418004;354501;72150;48214;23936;15289;1374034
Gelderland (PV);2018;1404297;1236817;1011151;307253;139773;167480;85893;4352664
Utrecht (PV);2018;860348;792950;664987;151357;83959;67398;44004;2665003
Noord-Holland (PV);2018;1579307;1453515;1199410;275676;149884;125792;104221;4887805
Zuid-Holland (PV);2018;2055039;1870488;1570941;371543;186992;184551;112555;6352109
Zeeland (PV);2018;281722;247440;200792;63281;28999;34282;17649;874165
Noord-Brabant (PV);2018;1855827;1653716;1367465;386722;184611;202111;101640;5752092
Limburg (PV);2018;778929;693761;581841;150026;64858;85168;47062;2401645
