;Onderwerp;Totaal alarmeringen van de brandweer;Brandalarmeringen|Alarmeringen;Brandalarmeringen|Uitrukken;Brandalarmeringen|Ter plaatse;Brandalarmeringen|Automatisch gemeld|Alarmeringen;Brandalarmeringen|Automatisch gemeld|Uitrukken;Brandalarmeringen|Automatisch gemeld|Ter plaatse;Brandalarmeringen|Telefonisch gemeld|Alarmeringen;Brandalarmeringen|Telefonisch gemeld|Uitrukken;Brandalarmeringen|Telefonisch gemeld|Ter plaatse;Hulpverleningsalarmeringen|Alarmeringen;Hulpverleningsalarmeringen|Uitrukken;Hulpverleningsalarmeringen|Ter plaatse;Bron: CBS
Gelderland (PV);2016;14660;8420;7780;6860;4120;3580;2800;4300;4200;4040;6240;6000;5700;
Gelderland (PV);2017;14840;7560;6880;6100;3320;2780;2160;4240;4120;3940;7280;6980;6620;
Gelderland (PV);2018;15180;7680;6880;6400;2600;1960;1580;5100;4920;4820;7500;7080;6820;
Gelderland (PV);2019*;14500;7260;6420;5940;2640;1960;1580;4620;4460;4360;7240;6800;6620;
Utrecht (PV);2013;10660;7140;6860;5720;4260;4060;3100;2880;2820;2640;3540;3400;3120;
Utrecht (PV);2014;10080;6560;6340;5220;3800;3640;2700;2760;2700;2500;3520;3400;3080;
Utrecht (PV);2015;9500;5720;5240;4400;3000;2620;1960;2720;2620;2440;3780;3660;3400;
Utrecht (PV);2016;8580;4980;4180;3640;2300;1640;1240;2680;2560;2420;3600;3380;3140;
Utrecht (PV);2017;8720;4600;3980;3440;2080;1560;1140;2520;2420;2300;4100;3800;3540;
Utrecht (PV);2018;9160;4860;4260;3720;1980;1500;1080;2880;2760;2640;4300;3900;3600;
Utrecht (PV);2019*;8440;4420;3840;3320;1820;1340;940;2600;2500;2360;4020;3760;3500;
Noord-Holland (PV);2013;31200;15060;13820;11720;8200;7160;5380;6860;6660;6360;16140;15320;13780;
Noord-Holland (PV);2014;31760;15640;14420;12360;8800;7740;6000;6860;6680;6360;16100;15420;14020;
Noord-Holland (PV);2015;34400;15800;14680;12420;8860;7900;5940;6940;6780;6480;18600;17580;15680;
Noord-Holland (PV);2016;32460;15440;14220;12300;8400;7380;5700;7020;6840;6600;17020;16200;14820;
Noord-Holland (PV);2017;33040;14940;13260;11880;7920;6520;5380;7020;6740;6500;18100;16860;15480;
Noord-Holland (PV);2018;35200;15140;13700;12440;7480;6340;5380;7660;7360;7060;20060;18360;16440;
Noord-Holland (PV);2019*;31880;13600;12360;10280;6500;5480;3800;7100;6880;6480;18280;16760;15180;
Zuid-Holland (PV);2013;42620;25180;24200;21440;14860;14220;12100;10300;9980;9320;17460;16560;15460;
Zuid-Holland (PV);2014;39580;23780;22300;18460;13900;12820;9600;9880;9480;8860;15780;14980;14020;
Zuid-Holland (PV);2015;40340;22400;20960;16700;12720;11560;8020;9700;9400;8680;17920;16980;15720;
Zuid-Holland (PV);2016;36960;20440;19300;15280;10780;9900;6580;9660;9400;8700;16520;15700;14600;
Zuid-Holland (PV);2017;36100;18140;17220;13920;8440;7780;5180;9700;9440;8740;17960;17040;15980;
Zuid-Holland (PV);2018;38360;18560;17600;14420;8300;7680;5180;10260;9920;9240;19800;18520;17320;
Zuid-Holland (PV);2019*;38980;19220;18200;14880;8320;7660;5100;10920;10540;9780;19740;18560;17320;
Zeeland (PV);2013;3220;1980;1860;1720;1020;920;800;960;940;920;1240;1180;1140;
Zeeland (PV);2014;3020;1900;1780;1640;980;860;760;920;900;900;1100;1000;980;
Zeeland (PV);2015;3120;1780;1620;1540;880;740;660;920;880;880;1340;1240;1200;
Zeeland (PV);2016;3380;2000;1840;1700;980;840;720;1020;1000;980;1380;1260;1220;
Zeeland (PV);2017;3580;1900;1760;1560;940;820;660;960;920;920;1680;1600;1560;
Zeeland (PV);2018;4080;1980;1860;1680;820;720;580;1160;1120;1100;2100;1980;1960;
Zeeland (PV);2019*;3860;1740;1600;1480;640;560;440;1080;1060;1040;2140;1980;1900;
Noord-Brabant (PV);2013;19080;12760;11600;10420;7100;6040;4980;5660;5560;5440;6320;5960;5700;
Noord-Brabant (PV);2014;18320;11700;10500;9480;6320;5240;4340;5360;5260;5140;6640;6280;6020;
Noord-Brabant (PV);2015;18040;10780;9960;8980;5420;4760;3960;5360;5200;5020;7260;6820;6540;
Noord-Brabant (PV);2016;16240;9620;8860;8300;4340;3720;3300;5280;5160;5000;6600;6180;5940;
Noord-Brabant (PV);2017;16120;9360;8620;8120;3900;3340;2960;5460;5280;5160;6760;6280;6020;
Noord-Brabant (PV);2018;17120;10160;9440;8740;3520;2960;2540;6640;6480;6200;6960;6440;6080;
Noord-Brabant (PV);2019*;17200;9240;8660;7980;3320;2860;2420;5920;5800;5560;7960;7340;6880;
Limburg (PV);2013;8940;6120;5200;3960;3600;2740;1600;2520;2460;2360;2820;2720;2600;
Limburg (PV);2014;9360;6300;5440;4020;3940;3140;1800;2360;2300;2220;3060;2920;2800;
Limburg (PV);2015;9080;5960;5220;3880;3520;2840;1600;2440;2380;2300;3120;2980;2860;
Limburg (PV);2016;9040;5780;5200;3820;3500;2960;1720;2280;2220;2100;3260;3080;2880;
Limburg (PV);2017;7940;5040;4560;3340;2820;2400;1320;2220;2160;2020;2900;2780;2600;
Limburg (PV);2018;8020;4620;4080;3040;2260;1820;960;2360;2260;2080;3400;3240;3020;
Limburg (PV);2019*;7840;4400;3920;2860;2180;1780;900;2220;2140;1960;3460;3280;2980;
